taxonomy_version	code	parent_code	level	label	definition
1.0	02.06.11	02.06	3	Space Exploration	Explores human and robotic exploration of space, astronomy, or rocketry.
1.0	02.06.11.21	02.06.11	4	Planetary Studies	Explains the structure and movement of planets, moons, and solar system objects.
1.0	02.06.11.21.15	02.06.11.21	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	02.06.11.21.58	02.06.11.21	5	Update	Provides a status report or change log on an ongoing story, project, or journey.
1.0	02.06.11.22	02.06.11	4	Space Missions	Covers technical details of crewed and robotic space missions, launches, and landings.
1.0	02.06.11.22.02	02.06.11.22	5	Analysis	Evaluates or interprets a subject through critical reasoning or structured breakdown.
1.0	02.06.11.22.38	02.06.11.22	5	Recap	Summarizes key events, lessons, or takeaways from a larger experience or episode.
1.0	02.06.12	02.06	3	Nature Studies	Educational content on ecosystems, wildlife, and earth’s natural environments.
1.0	02.06.12.23	02.06.12	4	Wildlife Behavior	Analyzes animal behavior, instincts, and interactions in their natural environments.
1.0	02.06.12.23.28	02.06.12.23	5	Observation	Content based on quiet or neutral watching — often animals, environments, or processes.
1.0	02.06.12.23.59	02.06.12.23	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	02.06.12.24	02.06.12	4	Ecosystem Analysis	Evaluates ecosystems by exploring species, terrain, climate, and environmental balance.
1.0	02.06.12.24.04	02.06.12.24	5	Breakdown	Dissects a topic into parts for clarity, often using visuals or step-by-step commentary.
1.0	02.06.12.24.06	02.06.12.24	5	Case Study	Presents a real-world example to explain how something worked or failed.
1.0	03		1	Lifestyle	Personal identity content: routines, fashion, food, home, beauty. Often vlog-style or advice-driven.
1.0	03.07	03	2	Fitness	Training-focused content covering workouts, form guides, performance tracking, and movement routines.
1.0	03.07.13	03.07	3	Yoga	Guided practices or routines designed to improve flexibility, balance, or breath control.
1.0	03.07.13.25	03.07.13	4	Beginner Flows	Teaches introductory yoga movements and breathing with gentle pacing and alignment tips.
1.0	03.07.13.25.56	03.07.13.25	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	03.07.13.25.59	03.07.13.25	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	03.07.13.26	03.07.13	4	Advanced Poses	Focuses on advanced yoga sequences, transitions, and strength-based flexibility work.
1.0	03.07.13.26.52	03.07.13.26	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	03.07.14	03.07	3	Strength Training	Training routines designed to increase muscular strength, endurance, and performance.
1.0	03.07.14.27	03.07.14	4	Weightlifting	Demonstrates proper form and techniques in free weights and gym-based strength routines.
1.0	03.07.14.27.19	03.07.14.27	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	03.07.14.27.50	03.07.14.27	5	Test	Puts a product, method, or assumption through a structured trial to evaluate results.
1.0	03.07.14.28	03.07.14	4	Bodyweight Exercises	Shows no-equipment exercises emphasizing core strength, mobility, and repetition sets.
1.0	03.07.14.28.16	03.07.14.28	5	Experiment	Tests a hypothesis or idea in real-time, usually with unexpected or educational results.
1.0	03.07.14.28.56	03.07.14.28	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	03.08	03	2	Food & Cooking	Content showcasing food prep, recipes, taste tests, cooking tips, and culinary storytelling.
1.0	03.08.15	03.08	3	Recipes	Instructional cooking content showing how to make specific dishes or meals.
1.0	03.08.15.29	03.08.15	4	Vegan Dishes	Prepares plant-based meals using accessible ingredients and clean presentation.
1.0	03.08.15.29.39	03.08.15.29	5	Recipes	Teaches how to prepare a specific dish with ingredients, steps, and tips.
1.0	03.08.15.29.56	03.08.15.29	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	03.08.15.30	03.08.15	4	Quick Meals	Demonstrates meals that can be prepared in 30 minutes or less for time-conscious audiences.
1.0	03.08.15.30.20	03.08.15.30	5	Hack	Shows a shortcut or unconventional method to achieve a result quickly or efficiently.
1.0	03.08.15.30.52	03.08.15.30	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	03.08.16	03.08	3	Cooking Techniques	Techniques, methods, or principles used to prepare food or refine cooking skills.
1.0	03.08.16.31	03.08.16	4	Baking Skills	Demonstrates baking techniques including dough prep, timing, decoration, and ingredient handling.
1.0	03.08.16.31.13	03.08.16.31	5	Demo	Explores a topic in high detail, usually beyond surface-level information.
1.0	03.08.16.31.19	03.08.16.31	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	03.08.16.32	03.08.16	4	Grilling Tips	Offers instruction or techniques for grilling meat, vegetables, or specialty items over open flame or heat
1.0	03.08.16.32.52	03.08.16.32	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	03.08.16.32.59	03.08.16.32	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	03.09	03	2	Fashion & Beauty	Aesthetic-focused content including makeup tutorials, hauls, styling, skincare, and reviews.
1.0	03.09.17	03.09	3	Makeup Tutorials	Step-by-step beauty tutorials, often focused on application, technique, or transformation.
1.0	03.09.17.33	03.09.17	4	Daily Looks	Shares informal, everyday outfit or beauty styling with a focus on approachability and authenticity.
1.0	03.09.17.33.55	03.09.17.33	5	Try-On	Models clothing or accessories while commenting on fit, feel, or quality.
1.0	03.09.17.33.56	03.09.17.33	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	03.09.17.34	03.09.17	4	Special Effects	Highlights dramatic or fantasy-oriented beauty transformations using FX makeup or prosthetics.
1.0	03.09.17.34.13	03.09.17.34	5	Demo	Explores a topic in high detail, usually beyond surface-level information.
1.0	03.09.18	03.09	3	Fashion Trends	Content about seasonal, cultural, or community trends in personal style or appearance.
1.0	03.09.18.35	03.09.18	4	Streetwear	Covers urban fashion trends rooted in youth culture, sneakers, skatewear, or music scenes.
1.0	03.09.18.35.21	03.09.18.35	5	Haul	Displays and discusses items recently purchased, often with mini-reviews.
1.0	03.09.18.35.46	03.09.18.35	5	Showcase	Displays the features or value of a single product, creation, or talent.
1.0	03.09.18.36	03.09.18	4	High Fashion	Showcases couture, editorial, and designer fashion with a focus on artistic presentation and runway aesthetics.
1.0	03.09.18.36.41	03.09.18.36	5	Reviews	Evaluates and shares opinions on a product, service, or media item.
1.0	03.09.18.36.53	03.09.18.36	5	Tour	Takes the viewer through a space, platform, or experience step by step.
1.0	04		1	Technology	Covers tools, software, hardware, AI, reviews, product demos. Can be consumer or technical in scope.
1.0	04.10	04	2	Consumer Tech	Reviews and usage of personal tech products like phones, gadgets, and wearables.
1.0	04.10.19	04.10	3	Gadget Reviews	Reviews or comparisons of personal tech products like phones, laptops, or headphones.
1.0	04.10.19.37	04.10.19	4	Smartphones	Reviews or compares phone models, features, or accessories with a focus on consumer usability.
1.0	04.10.19.37.41	04.10.19.37	5	Reviews	Evaluates and shares opinions on a product, service, or media item.
1.0	04.10.19.37.57	04.10.19.37	5	Unboxing	Opens and explores a new product, often with commentary on packaging and first impressions.
1.0	04.10.19.38	04.10.19	4	Wearables	Explores fitness trackers, smartwatches, and AR devices through demonstrations or performance tests.
1.0	04.10.19.38.09	04.10.19.38	5	Comparison	Contrasts two or more options, tools, products, or perspectives.
1.0	04.10.19.38.18	04.10.19.38	5	First Impressions	Initial reactions to a new product, trend, or experience — usually unfiltered.
1.0	04.10.20	04.10	3	Smart Devices	Content about connected or smart-enabled devices for home, productivity, or lifestyle.
1.0	04.10.20.39	04.10.20	4	Home Automation	Demonstrates or reviews smart home systems like lighting, thermostats, or voice-controlled hubs.
1.0	04.10.20.39.45	04.10.20.39	5	Setup	Shows how tools, environments, or systems are arranged and optimized.
1.0	04.10.20.39.56	04.10.20.39	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	04.10.20.40	04.10.20	4	IoT Gadgets	Explains interconnected smart devices and their functionality in home, work, or lifestyle applications.
1.0	04.10.20.40.13	04.10.20.40	5	Demo	Explores a topic in high detail, usually beyond surface-level information.
1.0	04.10.20.40.20	04.10.20.40	5	Hack	Shows a shortcut or unconventional method to achieve a result quickly or efficiently.
1.0	04.11	04	2	Software & Coding	Instructional or exploratory content focused on programming, debugging, and digital tools.
1.0	04.11.21	04.11	3	App Development	Demonstrations or walkthroughs of building or deploying software applications.
1.0	04.11.21.41	04.11.21	4	Mobile Apps	Reviews, compares, or demonstrates mobile apps for productivity, creativity, or entertainment.
1.0	04.11.21.41.56	04.11.21.41	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	04.11.21.41.60	04.11.21.41	5	Walkthrough	Leads the viewer through a process, system, or game with detailed explanation.
1.0	04.11.21.42	04.11.21	4	Desktop Software	Covers installation, features, and workflows of PC or Mac-based software for task-specific needs.
1.0	04.11.21.42.13	04.11.21.42	5	Demo	Explores a topic in high detail, usually beyond surface-level information.
1.0	04.11.21.42.19	04.11.21.42	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	04.11.22	04.11	3	Programming Skills	Conceptual or instructional content on writing, structuring, or improving code logic.
1.0	04.11.22.43	04.11.22	4	Code Debugging	Walks through identifying and fixing errors in software, often using real-time screen capture or examples.
1.0	04.11.22.43.35	04.11.22.43	5	Q&A	Answers audience-submitted or pre-generated questions in a conversational tone.
1.0	04.11.22.43.52	04.11.22.43	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	04.11.22.44	04.11.22	4	Best Practices	Teaches or reinforces professional coding habits, conventions, or workflows for quality assurance.
1.0	04.11.22.44.06	04.11.22.44	5	Case Study	Presents a real-world example to explain how something worked or failed.
1.0	04.11.22.44.15	04.11.22.44	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	04.12	04	2	Digital Culture	Content that documents, reflects, or participates in platform-native trends, memes, or subcultures.
1.0	04.12.23	04.12	3	Internet Trends	Highlights or commentary on current viral moments, internet behavior, and digital culture.
1.0	04.12.23.45	04.12.23	4	Social Media Shifts	Analyzes updates, platform policy changes, or user behavior trends shaping social ecosystems.
1.0	04.12.23.45.02	04.12.23.45	5	Analysis	Evaluates or interprets a subject through critical reasoning or structured breakdown.
1.0	04.12.23.45.58	04.12.23.45	5	Update	Provides a status report or change log on an ongoing story, project, or journey.
1.0	04.12.23.46	04.12.23	4	Meme Culture	Explores viral formats, remix behavior, or visual language emerging from internet humor.
1.0	04.12.23.46.10	04.12.23.46	5	Compilation	Combines multiple short clips or moments into a single cohesive video.
1.0	04.12.24	04.12	3	Digital Media	Analysis or documentation of how digital platforms shape culture and interaction.
1.0	04.12.24.47	04.12.24	4	Video Content	Discusses creation, structure, or engagement strategies for video-first formats across platforms.
1.0	04.12.24.47.03	04.12.24.47	5	Behind-the-Scenes	Reveals the process or preparation behind a finished product or performance.
1.0	04.12.24.47.56	04.12.24.47	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	04.12.24.48	04.12.24	4	Podcasts	Offers guidance on hosting, editing, or promoting audio content distributed through RSS platforms.
1.0	04.12.24.48.23	04.12.24.48	5	Interview	Features a conversation between host and guest(s) to extract insight or perspective.
1.0	04.12.24.48.33	04.12.24.48	5	Podcasts	Long-form audio or video conversations, usually structured around topics or guests.
1.0	04.13	04	2	Emerging Tech	Content featuring experimental or high-growth technologies like AI, blockchain, and VR/AR.
1.0	04.13.25	04.13	3	AI Applications	Demonstrations or explanations of how AI models or tools are used in real scenarios.
1.0	04.13.25.49	04.13.25	4	Chatbots	Demonstrates how chatbots are built, trained, and used in customer service, content, or automation workflows.
1.0	04.13.25.49.13	04.13.25.49	5	Demo	Explores a topic in high detail, usually beyond surface-level information.
1.0	04.13.25.49.15	04.13.25.49	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	04.13.25.50	04.13.25	4	Machine Learning	Explains how ML models are structured, trained, and applied across tasks like prediction, classification, or personalizatio
1.0	04.13.25.50.06	04.13.25.50	5	Case Study	Presents a real-world example to explain how something worked or failed.
1.0	04.13.25.50.56	04.13.25.50	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	04.13.26	04.13	3	Blockchain Tech	Explains blockchain technology, decentralization, crypto, or smart contracts.
1.0	04.13.26.51	04.13.26	4	Cryptocurrencies	Breaks down how digital currencies function, how to trade them, and the risks or innovations they bring.
1.0	04.13.26.51.24	04.13.26.51	5	Lists	Presents a ranked or grouped set of recommendations, facts, or ideas.
1.0	04.13.26.51.41	04.13.26.51	5	Reviews	Evaluates and shares opinions on a product, service, or media item.
1.0	04.13.26.52	04.13.26	4	Smart Contracts	Explains how blockchain-based contracts execute automatically, often using real-world examples or project walkthroughs.
1.0	04.13.26.52.02	04.13.26.52	5	Analysis	Evaluates or interprets a subject through critical reasoning or structured breakdown.
1.0	04.13.26.52.19	04.13.26.52	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	05		1	News & Commentary	Discusses current events, politics, cultural takes. Includes both factual updates and subjective analysis.
1.0	05.14	05	2	Current Events	Real-time or recent commentary on news, culture, or global developments.
1.0	05.14.27	05.14	3	Breaking News	Real-time or same-day coverage of breaking stories, emergencies, or global events.
1.0	05.14.27.53	05.14.27	4	Live Updates	Delivers real-time content about unfolding events, typically fast-paced and streamed or posted as-it-happens.
1.0	05.14.27.53.25	05.14.27.53	5	Live	Content streamed in real-time, often interactive or unedited.
1.0	05.14.27.53.58	05.14.27.53	5	Update	Provides a status report or change log on an ongoing story, project, or journey.
1.0	05.14.27.54	05.14.27	4	Event Recaps	Summarizes performances, launches, keynotes, or other major events with commentary or highlight coverage.
1.0	05.14.27.54.38	05.14.27.54	5	Recap	Summarizes key events, lessons, or takeaways from a larger experience or episode.
1.0	05.14.28	05.14	3	Daily Updates	Short-form summaries of daily happenings, typically news or culture-based.
1.0	05.14.28.55	05.14.28	4	News Briefs	Presents short, focused news segments covering key headlines with minimal analysis or opinion.
1.0	05.14.28.55.26	05.14.28.55	5	Mini	Delivers a shorter or condensed version of a traditionally longer content type.
1.0	05.14.28.55.43	05.14.28.55	5	Roundup	Aggregates several examples, trends, or pieces of news into one piece of content.
1.0	05.14.28.56	05.14.28	4	Morning Reports	Curated summaries of daily headlines, weather, cultural moments, or platform trends delivered in the morning.
1.0	05.14.28.56.29	05.14.28.56	5	Overview	Presents a broad explanation of a topic, usually without deep technical detail.
1.0	05.14.28.56.59	05.14.28.56	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	05.15	05	2	Politics & Opinion	Political ideas, takes, or debates — includes ideology breakdowns, campaigns, and critiques.
1.0	05.15.29	05.15	3	Debates	Content that stages, hosts, or responds to structured ideological or social debates.
1.0	05.15.29.57	05.15.29	4	Live Discussions	Real-time group or solo dialogue on timely topics, often streamed or recorded with audience engagement.
1.0	05.15.29.57.11	05.15.29.57	5	Debate	Shows how to make or build something step by step using accessible materials.
1.0	05.15.29.57.25	05.15.29.57	5	Live	Content streamed in real-time, often interactive or unedited.
1.0	05.15.29.58	05.15.29	4	Opinion Clashes	Presents opposing viewpoints in a debate or reaction format, often around controversial issues.
1.0	05.15.29.58.36	05.15.29.58	5	Rant	Expresses strong opinion or frustration in an unfiltered, emotional format.
1.0	05.15.30	05.15	3	Policy Analysis	Breakdowns or analysis of political issues, proposals, or legislative actions.
1.0	05.15.30.59	05.15.30	4	Legislation Reviews	Breaks down bills, laws, or political decisions with context, critique, or explainer framing.
1.0	05.15.30.59.04	05.15.30.59	5	Breakdown	Dissects a topic into parts for clarity, often using visuals or step-by-step commentary.
1.0	05.15.30.59.15	05.15.30.59	5	Explained	Simplifies a topic or concept through accessible language and examples.
1.0	05.15.30.60	05.15.30	4	Election Insights	Analyzes candidates, voter behavior, polling data, or campaign strategy before or after elections.
1.0	05.15.30.60.02	05.15.30.60	5	Analysis	Evaluates or interprets a subject through critical reasoning or structured breakdown.
1.0	05.15.30.60.24	05.15.30.60	5	Lists	Presents a ranked or grouped set of recommendations, facts, or ideas.
1.0	05.15.91	05.15	3	Conspiracy Theories	Explores secretive narratives, alternate histories, or fringe theories critically or speculatively.
1.0	05.16	05	2	Culture & Society	Observations on identity, values, behavior, rituals, or subcultures within society.
1.0	05.16.31	05.16	3	Social Issues	Content that explores social justice issues, equity, and systemic critique.
1.0	05.16.31.61	05.16.31	4	Justice Topics	Explores themes of law, incarceration, civil rights, and systemic inequality through commentary or reporting.
1.0	05.16.31.61.01	05.16.31.61	5	Advocacy	Content designed to raise awareness or drive action around social or political causes.
1.0	05.16.31.61.33	05.16.31.61	5	Podcasts	Long-form audio or video conversations, usually structured around topics or guests.
1.0	05.16.31.62	05.16.31	4	Community Stories	Shares lived experiences or perspectives from underrepresented or localized communities.
1.0	05.16.31.62.23	05.16.31.62	5	Interview	Features a conversation between host and guest(s) to extract insight or perspective.
1.0	05.16.31.62.59	05.16.31.62	5	Vlogs	Captures daily life, travel, or thought processes in a casual, documentary style.
1.0	05.16.32	05.16	3	Cultural Trends	Describes cultural behaviors, rituals, changes, or subgroups within society.
1.0	05.16.32.63	05.16.32	4	Fashion Shifts	Analyzes changes in fashion trends over time, across regions, or within subcultures.
1.0	05.16.32.63.43	05.16.32.63	5	Roundup	Aggregates several examples, trends, or pieces of news into one piece of content.
1.0	05.16.32.63.54	05.16.32.63	5	Trends	Highlights popular styles, challenges, or behavior emerging within a timeframe.
1.0	05.16.32.64	05.16.32	4	Tech Impacts	Explores how emerging technologies affect behavior, jobs, ethics, or cultural norms.
1.0	05.16.32.64.02	05.16.32.64	5	Analysis	Evaluates or interprets a subject through critical reasoning or structured breakdown.
1.0	05.16.32.64.08	05.16.32.64	5	Commentary	Offers subjective opinion or interpretation of an existing event, work, or trend.
1.0	06		1	Creative Arts	Expression-first content: music, performance, drawing, animation, poetry, design. Often overlaps with entertainment but prioritizes craft.
1.0	06.17	06	2	Visual Arts	Content based on visual creative process — including drawing, illustration, or digital design.
1.0	06.17.34	06.17	3	Drawing	Instruction or process documentation of analog or digital drawing techniques.
1.0	06.17.34.67	06.17.34	4	Sketching Techniques	Teaches foundational linework, shading, and drawing fundamentals through process demos.
1.0	06.17.34.67.52	06.17.34.67	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	06.17.34.67.56	06.17.34.67	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	06.17.34.68	06.17.34	4	Illustration Styles	Compares or teaches stylistic approaches to digital or analog illustration.
1.0	06.17.34.68.19	06.17.34.68	5	Guide	Walks the viewer through a task, platform, or system in a structured format.
1.0	06.17.34.68.46	06.17.34.68	5	Showcase	Displays the features or value of a single product, creation, or talent.
1.0	06.17.35	06.17	3	Digital Art	Creation-focused digital art content using illustration software or design tools.
1.0	06.17.35.69	06.17.35	4	Graphic Design	Covers composition, layout, typography, and branding in design tools and platforms.
1.0	06.17.35.69.13	06.17.35.69	5	Demo	Explores a topic in high detail, usually beyond surface-level information.
1.0	06.17.35.69.56	06.17.35.69	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	06.17.35.70	06.17.35	4	3D Modeling	Demonstrates how to create or manipulate three-dimensional objects in virtual space using software.
1.0	06.17.35.70.03	06.17.35.70	5	Behind-the-Scenes	Reveals the process or preparation behind a finished product or performance.
1.0	06.17.35.70.56	06.17.35.70	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	06.18	06	2	Music Creation	Behind-the-scenes or tutorial-based content showing how music is written, recorded, or produced.
1.0	06.18.36	06.18	3	Songwriting	Shows the process of writing lyrics, melody, or full compositions for music.
1.0	06.18.36.71	06.18.36	4	Lyric Writing	Shows how lyrics are structured, drafted, or rewritten in different musical genres.
1.0	06.18.36.71.52	06.18.36.71	5	Tips	Gives bite-sized advice or insights on how to improve in a given area.
1.0	06.18.36.71.56	06.18.36.71	5	Tutorials	Instructs the viewer on how to do something through guided, hands-on instruction.
1.0	06.18.36.72	06.18.36	4	Melody Crafting	Breaks down how melodies are developed using voice, instrument, or digital tools.
